,date,activity,gender,number,x_axis,y_axis,z_axis
98,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,38.0
99,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,40.0
100,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
101,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,39.0
102,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,40.0
103,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
104,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0
105,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0
106,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0
107,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,38.0
108,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
109,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,40.0
110,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,40.0
111,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0
112,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,40.0
113,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,40.0
114,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,39.0
115,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,40.0
116,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,39.0
117,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,39.0
118,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
119,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,40.0
120,2011-04-11-13-29-54,brush_teeth,f,1,23.0,50.0,40.0
121,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
122,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
123,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,39.0
124,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
125,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,37.0
126,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,38.0
127,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,38.0
128,2011-04-11-13-29-54,brush_teeth,f,1,21.0,48.0,37.0
129,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,38.0
130,2011-04-11-13-29-54,brush_teeth,f,1,24.0,49.0,38.0
131,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,38.0
132,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,38.0
133,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,40.0
134,2011-04-11-13-29-54,brush_teeth,f,1,23.0,51.0,37.0
135,2011-04-11-13-29-54,brush_teeth,f,1,18.0,53.0,38.0
136,2011-04-11-13-29-54,brush_teeth,f,1,17.0,51.0,39.0
137,2011-04-11-13-29-54,brush_teeth,f,1,17.0,51.0,37.0
138,2011-04-11-13-29-54,brush_teeth,f,1,19.0,52.0,39.0
139,2011-04-11-13-29-54,brush_teeth,f,1,18.0,51.0,39.0
140,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,41.0
141,2011-04-11-13-29-54,brush_teeth,f,1,21.0,53.0,43.0
142,2011-04-11-13-29-54,brush_teeth,f,1,22.0,51.0,43.0
143,2011-04-11-13-29-54,brush_teeth,f,1,23.0,53.0,43.0
144,2011-04-11-13-29-54,brush_teeth,f,1,24.0,54.0,42.0
145,2011-04-11-13-29-54,brush_teeth,f,1,25.0,52.0,41.0
146,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,40.0
147,2011-04-11-13-29-54,brush_teeth,f,1,28.0,50.0,39.0
148,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,38.0
149,2011-04-11-13-29-54,brush_teeth,f,1,29.0,51.0,38.0
150,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,38.0
151,2011-04-11-13-29-54,brush_teeth,f,1,28.0,53.0,35.0
152,2011-04-11-13-29-54,brush_teeth,f,1,30.0,50.0,37.0
153,2011-04-11-13-29-54,brush_teeth,f,1,28.0,40.0,37.0
154,2011-04-11-13-29-54,brush_teeth,f,1,32.0,15.0,34.0
155,2011-04-11-13-29-54,brush_teeth,f,1,28.0,47.0,45.0
156,2011-04-11-13-29-54,brush_teeth,f,1,28.0,59.0,34.0
157,2011-04-11-13-29-54,brush_teeth,f,1,22.0,63.0,33.0
158,2011-04-11-13-29-54,brush_teeth,f,1,30.0,60.0,32.0
159,2011-04-11-13-29-54,brush_teeth,f,1,29.0,39.0,36.0
160,2011-04-11-13-29-54,brush_teeth,f,1,31.0,29.0,42.0
161,2011-04-11-13-29-54,brush_teeth,f,1,32.0,49.0,44.0
162,2011-04-11-13-29-54,brush_teeth,f,1,32.0,56.0,36.0
163,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,30.0
164,2011-04-11-13-29-54,brush_teeth,f,1,33.0,57.0,29.0
165,2011-04-11-13-29-54,brush_teeth,f,1,29.0,42.0,34.0
166,2011-04-11-13-29-54,brush_teeth,f,1,28.0,26.0,42.0
167,2011-04-11-13-29-54,brush_teeth,f,1,29.0,49.0,41.0
168,2011-04-11-13-29-54,brush_teeth,f,1,31.0,60.0,30.0
169,2011-04-11-13-29-54,brush_teeth,f,1,33.0,63.0,24.0
170,2011-04-11-13-29-54,brush_teeth,f,1,33.0,56.0,28.0
171,2011-04-11-13-29-54,brush_teeth,f,1,28.0,40.0,36.0
172,2011-04-11-13-29-54,brush_teeth,f,1,26.0,30.0,43.0
173,2011-04-11-13-29-54,brush_teeth,f,1,28.0,48.0,41.0
174,2011-04-11-13-29-54,brush_teeth,f,1,29.0,62.0,25.0
175,2011-04-11-13-29-54,brush_teeth,f,1,32.0,63.0,19.0
176,2011-04-11-13-29-54,brush_teeth,f,1,30.0,50.0,31.0
177,2011-04-11-13-29-54,brush_teeth,f,1,26.0,40.0,38.0
178,2011-04-11-13-29-54,brush_teeth,f,1,24.0,33.0,45.0
179,2011-04-11-13-29-54,brush_teeth,f,1,28.0,53.0,41.0
180,2011-04-11-13-29-54,brush_teeth,f,1,27.0,62.0,24.0
181,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,19.0
182,2011-04-11-13-29-54,brush_teeth,f,1,28.0,49.0,29.0
183,2011-04-11-13-29-54,brush_teeth,f,1,27.0,30.0,37.0
184,2011-04-11-13-29-54,brush_teeth,f,1,25.0,36.0,45.0
185,2011-04-11-13-29-54,brush_teeth,f,1,31.0,52.0,44.0
186,2011-04-11-13-29-54,brush_teeth,f,1,27.0,63.0,26.0
187,2011-04-11-13-29-54,brush_teeth,f,1,33.0,62.0,22.0
188,2011-04-11-13-29-54,brush_teeth,f,1,28.0,47.0,27.0
189,2011-04-11-13-29-54,brush_teeth,f,1,27.0,24.0,37.0
190,2011-04-11-13-29-54,brush_teeth,f,1,23.0,53.0,43.0
191,2011-04-11-13-29-54,brush_teeth,f,1,28.0,62.0,33.0
192,2011-04-11-13-29-54,brush_teeth,f,1,27.0,63.0,29.0
193,2011-04-11-13-29-54,brush_teeth,f,1,32.0,60.0,28.0
194,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,36.0
195,2011-04-11-13-29-54,brush_teeth,f,1,26.0,23.0,40.0
196,2011-04-11-13-29-54,brush_teeth,f,1,22.0,52.0,42.0
197,2011-04-11-13-29-54,brush_teeth,f,1,25.0,62.0,28.0
198,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,21.0
199,2011-04-11-13-29-54,brush_teeth,f,1,32.0,57.0,23.0
200,2011-04-11-13-29-54,brush_teeth,f,1,27.0,36.0,34.0
201,2011-04-11-13-29-54,brush_teeth,f,1,25.0,42.0,43.0
202,2011-04-11-13-29-54,brush_teeth,f,1,26.0,48.0,36.0
203,2011-04-11-13-29-54,brush_teeth,f,1,28.0,63.0,21.0
204,2011-04-11-13-29-54,brush_teeth,f,1,36.0,62.0,25.0
205,2011-04-11-13-29-54,brush_teeth,f,1,29.0,46.0,30.0
206,2011-04-11-13-29-54,brush_teeth,f,1,30.0,34.0,37.0
207,2011-04-11-13-29-54,brush_teeth,f,1,32.0,30.0,41.0
208,2011-04-11-13-29-54,brush_teeth,f,1,29.0,48.0,35.0
209,2011-04-11-13-29-54,brush_teeth,f,1,31.0,63.0,21.0
210,2011-04-11-13-29-54,brush_teeth,f,1,36.0,55.0,23.0
211,2011-04-11-13-29-54,brush_teeth,f,1,29.0,33.0,34.0
212,2011-04-11-13-29-54,brush_teeth,f,1,28.0,27.0,41.0
213,2011-04-11-13-29-54,brush_teeth,f,1,26.0,49.0,40.0
214,2011-04-11-13-29-54,brush_teeth,f,1,32.0,63.0,22.0
215,2011-04-11-13-29-54,brush_teeth,f,1,40.0,59.0,25.0
216,2011-04-11-13-29-54,brush_teeth,f,1,33.0,36.0,33.0
217,2011-04-11-13-29-54,brush_teeth,f,1,29.0,28.0,40.0
218,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,41.0
219,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,21.0
220,2011-04-11-13-29-54,brush_teeth,f,1,37.0,62.0,24.0
221,2011-04-11-13-29-54,brush_teeth,f,1,32.0,45.0,32.0
222,2011-04-11-13-29-54,brush_teeth,f,1,27.0,29.0,39.0
223,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,41.0
224,2011-04-11-13-29-54,brush_teeth,f,1,28.0,62.0,28.0
225,2011-04-11-13-29-54,brush_teeth,f,1,35.0,63.0,25.0
226,2011-04-11-13-29-54,brush_teeth,f,1,32.0,57.0,29.0
227,2011-04-11-13-29-54,brush_teeth,f,1,27.0,26.0,36.0
228,2011-04-11-13-29-54,brush_teeth,f,1,24.0,48.0,39.0
229,2011-04-11-13-29-54,brush_teeth,f,1,29.0,56.0,36.0
230,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,23.0
231,2011-04-11-13-29-54,brush_teeth,f,1,34.0,60.0,24.0
232,2011-04-11-13-29-54,brush_teeth,f,1,31.0,36.0,34.0
233,2011-04-11-13-29-54,brush_teeth,f,1,28.0,28.0,41.0
234,2011-04-11-13-29-54,brush_teeth,f,1,26.0,48.0,42.0
235,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,25.0
236,2011-04-11-13-29-54,brush_teeth,f,1,37.0,63.0,24.0
237,2011-04-11-13-29-54,brush_teeth,f,1,34.0,49.0,31.0
238,2011-04-11-13-29-54,brush_teeth,f,1,28.0,21.0,34.0
239,2011-04-11-13-29-54,brush_teeth,f,1,26.0,37.0,38.0
240,2011-04-11-13-29-54,brush_teeth,f,1,29.0,54.0,37.0
241,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,28.0
242,2011-04-11-13-29-54,brush_teeth,f,1,31.0,63.0,26.0
243,2011-04-11-13-29-54,brush_teeth,f,1,29.0,50.0,29.0
244,2011-04-11-13-29-54,brush_teeth,f,1,27.0,30.0,36.0
245,2011-04-11-13-29-54,brush_teeth,f,1,24.0,44.0,41.0
246,2011-04-11-13-29-54,brush_teeth,f,1,28.0,56.0,33.0
247,2011-04-11-13-29-54,brush_teeth,f,1,26.0,63.0,25.0
248,2011-04-11-13-29-54,brush_teeth,f,1,36.0,62.0,25.0
249,2011-04-11-13-29-54,brush_teeth,f,1,27.0,44.0,30.0
250,2011-04-11-13-29-54,brush_teeth,f,1,28.0,32.0,38.0
251,2011-04-11-13-29-54,brush_teeth,f,1,28.0,44.0,41.0
252,2011-04-11-13-29-54,brush_teeth,f,1,28.0,63.0,26.0
253,2011-04-11-13-29-54,brush_teeth,f,1,34.0,63.0,18.0
254,2011-04-11-13-29-54,brush_teeth,f,1,33.0,44.0,27.0
255,2011-04-11-13-29-54,brush_teeth,f,1,29.0,31.0,36.0
256,2011-04-11-13-29-54,brush_teeth,f,1,28.0,46.0,38.0
257,2011-04-11-13-29-54,brush_teeth,f,1,28.0,62.0,23.0
258,2011-04-11-13-29-54,brush_teeth,f,1,35.0,63.0,18.0
259,2011-04-11-13-29-54,brush_teeth,f,1,35.0,54.0,27.0
260,2011-04-11-13-29-54,brush_teeth,f,1,28.0,33.0,38.0
261,2011-04-11-13-29-54,brush_teeth,f,1,29.0,30.0,41.0
262,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,36.0
263,2011-04-11-13-29-54,brush_teeth,f,1,32.0,63.0,21.0
264,2011-04-11-13-29-54,brush_teeth,f,1,39.0,58.0,22.0
265,2011-04-11-13-29-54,brush_teeth,f,1,28.0,30.0,33.0
266,2011-04-11-13-29-54,brush_teeth,f,1,27.0,33.0,42.0
267,2011-04-11-13-29-54,brush_teeth,f,1,30.0,54.0,39.0
268,2011-04-11-13-29-54,brush_teeth,f,1,35.0,63.0,20.0
269,2011-04-11-13-29-54,brush_teeth,f,1,36.0,57.0,23.0
270,2011-04-11-13-29-54,brush_teeth,f,1,25.0,36.0,34.0
271,2011-04-11-13-29-54,brush_teeth,f,1,23.0,35.0,39.0
272,2011-04-11-13-29-54,brush_teeth,f,1,22.0,57.0,41.0
273,2011-04-11-13-29-54,brush_teeth,f,1,27.0,62.0,37.0
274,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,27.0
275,2011-04-11-13-29-54,brush_teeth,f,1,34.0,63.0,29.0
276,2011-04-11-13-29-54,brush_teeth,f,1,37.0,57.0,32.0
277,2011-04-11-13-29-54,brush_teeth,f,1,32.0,61.0,35.0
278,2011-04-11-13-29-54,brush_teeth,f,1,29.0,45.0,28.0
279,2011-04-11-13-29-54,brush_teeth,f,1,24.0,45.0,35.0
280,2011-04-11-13-29-54,brush_teeth,f,1,12.0,33.0,40.0
281,2011-04-11-13-29-54,brush_teeth,f,1,13.0,43.0,41.0
282,2011-04-11-13-29-54,brush_teeth,f,1,18.0,46.0,40.0
283,2011-04-11-13-29-54,brush_teeth,f,1,24.0,51.0,37.0
284,2011-04-11-13-29-54,brush_teeth,f,1,54.0,63.0,28.0
285,2011-04-11-13-29-54,brush_teeth,f,1,51.0,55.0,28.0
286,2011-04-11-13-29-54,brush_teeth,f,1,35.0,44.0,41.0
287,2011-04-11-13-29-54,brush_teeth,f,1,6.0,43.0,44.0
288,2011-04-11-13-29-54,brush_teeth,f,1,6.0,45.0,40.0
289,2011-04-11-13-29-54,brush_teeth,f,1,16.0,50.0,41.0
290,2011-04-11-13-29-54,brush_teeth,f,1,39.0,52.0,33.0
291,2011-04-11-13-29-54,brush_teeth,f,1,54.0,63.0,26.0
292,2011-04-11-13-29-54,brush_teeth,f,1,33.0,49.0,39.0
293,2011-04-11-13-29-54,brush_teeth,f,1,10.0,32.0,41.0
294,2011-04-11-13-29-54,brush_teeth,f,1,15.0,50.0,30.0
295,2011-04-11-13-29-54,brush_teeth,f,1,20.0,56.0,25.0
296,2011-04-11-13-29-54,brush_teeth,f,1,21.0,42.0,37.0
297,2011-04-11-13-29-54,brush_teeth,f,1,24.0,52.0,43.0
298,2011-04-11-13-29-54,brush_teeth,f,1,25.0,56.0,38.0
299,2011-04-11-13-29-54,brush_teeth,f,1,28.0,59.0,45.0
300,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,41.0
301,2011-04-11-13-29-54,brush_teeth,f,1,24.0,52.0,41.0
302,2011-04-11-13-29-54,brush_teeth,f,1,22.0,53.0,44.0
303,2011-04-11-13-29-54,brush_teeth,f,1,21.0,45.0,44.0
304,2011-04-11-13-29-54,brush_teeth,f,1,20.0,47.0,39.0
305,2011-04-11-13-29-54,brush_teeth,f,1,20.0,50.0,39.0
306,2011-04-11-13-29-54,brush_teeth,f,1,19.0,49.0,39.0
307,2011-04-11-13-29-54,brush_teeth,f,1,19.0,48.0,40.0
308,2011-04-11-13-29-54,brush_teeth,f,1,20.0,50.0,41.0
309,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,42.0
310,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,42.0
311,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,43.0
312,2011-04-11-13-29-54,brush_teeth,f,1,20.0,50.0,43.0
313,2011-04-11-13-29-54,brush_teeth,f,1,19.0,49.0,43.0
314,2011-04-11-13-29-54,brush_teeth,f,1,20.0,51.0,43.0
315,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,43.0
316,2011-04-11-13-29-54,brush_teeth,f,1,20.0,51.0,43.0
317,2011-04-11-13-29-54,brush_teeth,f,1,20.0,50.0,43.0
318,2011-04-11-13-29-54,brush_teeth,f,1,22.0,52.0,41.0
319,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,41.0
320,2011-04-11-13-29-54,brush_teeth,f,1,26.0,50.0,42.0
321,2011-04-11-13-29-54,brush_teeth,f,1,26.0,49.0,40.0
322,2011-04-11-13-29-54,brush_teeth,f,1,31.0,48.0,41.0
323,2011-04-11-13-29-54,brush_teeth,f,1,34.0,48.0,39.0
324,2011-04-11-13-29-54,brush_teeth,f,1,34.0,58.0,38.0
325,2011-04-11-13-29-54,brush_teeth,f,1,35.0,43.0,34.0
326,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0
327,2011-04-11-13-29-54,brush_teeth,f,1,7.0,51.0,41.0
328,2011-04-11-13-29-54,brush_teeth,f,1,2.0,35.0,37.0
329,2011-04-11-13-29-54,brush_teeth,f,1,10.0,61.0,43.0
330,2011-04-11-13-29-54,brush_teeth,f,1,24.0,44.0,42.0
331,2011-04-11-13-29-54,brush_teeth,f,1,49.0,62.0,33.0
332,2011-04-11-13-29-54,brush_teeth,f,1,55.0,62.0,30.0
333,2011-04-11-13-29-54,brush_teeth,f,1,40.0,38.0,50.0
334,2011-04-11-13-29-54,brush_teeth,f,1,20.0,51.0,42.0
335,2011-04-11-13-29-54,brush_teeth,f,1,0.0,47.0,46.0
336,2011-04-11-13-29-54,brush_teeth,f,1,6.0,58.0,35.0
337,2011-04-11-13-29-54,brush_teeth,f,1,14.0,55.0,44.0
338,2011-04-11-13-29-54,brush_teeth,f,1,37.0,56.0,40.0
339,2011-04-11-13-29-54,brush_teeth,f,1,59.0,63.0,29.0
340,2011-04-11-13-29-54,brush_teeth,f,1,47.0,46.0,33.0
341,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,42.0
342,2011-04-11-13-29-54,brush_teeth,f,1,3.0,50.0,43.0
343,2011-04-11-13-29-54,brush_teeth,f,1,0.0,27.0,37.0
344,2011-04-11-13-29-54,brush_teeth,f,1,11.0,50.0,43.0
345,2011-04-11-13-29-54,brush_teeth,f,1,30.0,41.0,43.0
346,2011-04-11-13-29-54,brush_teeth,f,1,51.0,63.0,34.0
347,2011-04-11-13-29-54,brush_teeth,f,1,48.0,55.0,27.0
348,2011-04-11-13-29-54,brush_teeth,f,1,42.0,43.0,46.0
349,2011-04-11-13-29-54,brush_teeth,f,1,18.0,53.0,40.0
350,2011-04-11-13-29-54,brush_teeth,f,1,0.0,44.0,51.0
351,2011-04-11-13-29-54,brush_teeth,f,1,6.0,59.0,36.0
352,2011-04-11-13-29-54,brush_teeth,f,1,14.0,44.0,39.0
353,2011-04-11-13-29-54,brush_teeth,f,1,32.0,47.0,42.0
354,2011-04-11-13-29-54,brush_teeth,f,1,51.0,63.0,36.0
355,2011-04-11-13-29-54,brush_teeth,f,1,50.0,50.0,30.0
356,2011-04-11-13-29-54,brush_teeth,f,1,39.0,42.0,39.0
357,2011-04-11-13-29-54,brush_teeth,f,1,16.0,52.0,39.0
358,2011-04-11-13-29-54,brush_teeth,f,1,0.0,39.0,45.0
359,2011-04-11-13-29-54,brush_teeth,f,1,7.0,62.0,33.0
360,2011-04-11-13-29-54,brush_teeth,f,1,19.0,53.0,41.0
361,2011-04-11-13-29-54,brush_teeth,f,1,39.0,46.0,43.0
362,2011-04-11-13-29-54,brush_teeth,f,1,58.0,63.0,30.0
363,2011-04-11-13-29-54,brush_teeth,f,1,47.0,37.0,37.0
364,2011-04-11-13-29-54,brush_teeth,f,1,30.0,48.0,40.0
365,2011-04-11-13-29-54,brush_teeth,f,1,8.0,53.0,42.0
366,2011-04-11-13-29-54,brush_teeth,f,1,0.0,38.0,41.0
