,date,activity,gender,number,x_axis,y_axis,z_axis,axis_avg
125,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,37.0,36.333333333333336
126,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,38.0,36.333333333333336
127,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,38.0,35.333333333333336
128,2011-04-11-13-29-54,brush_teeth,f,1,21.0,48.0,37.0,35.333333333333336
129,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,38.0,36.0
130,2011-04-11-13-29-54,brush_teeth,f,1,24.0,49.0,38.0,37.0
131,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,38.0,37.666666666666664
132,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,38.0,37.666666666666664
133,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,40.0,38.333333333333336
134,2011-04-11-13-29-54,brush_teeth,f,1,23.0,51.0,37.0,37.0
135,2011-04-11-13-29-54,brush_teeth,f,1,18.0,53.0,38.0,36.333333333333336
136,2011-04-11-13-29-54,brush_teeth,f,1,17.0,51.0,39.0,35.666666666666664
137,2011-04-11-13-29-54,brush_teeth,f,1,17.0,51.0,37.0,35.0
138,2011-04-11-13-29-54,brush_teeth,f,1,19.0,52.0,39.0,36.666666666666664
139,2011-04-11-13-29-54,brush_teeth,f,1,18.0,51.0,39.0,36.0
140,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,41.0,36.333333333333336
141,2011-04-11-13-29-54,brush_teeth,f,1,21.0,53.0,43.0,39.0
142,2011-04-11-13-29-54,brush_teeth,f,1,22.0,51.0,43.0,38.666666666666664
143,2011-04-11-13-29-54,brush_teeth,f,1,23.0,53.0,43.0,39.666666666666664
144,2011-04-11-13-29-54,brush_teeth,f,1,24.0,54.0,42.0,40.0
145,2011-04-11-13-29-54,brush_teeth,f,1,25.0,52.0,41.0,39.333333333333336
146,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,40.0,39.666666666666664
147,2011-04-11-13-29-54,brush_teeth,f,1,28.0,50.0,39.0,39.0
148,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,38.0,39.0
149,2011-04-11-13-29-54,brush_teeth,f,1,29.0,51.0,38.0,39.333333333333336
150,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,38.0,39.0
151,2011-04-11-13-29-54,brush_teeth,f,1,28.0,53.0,35.0,38.666666666666664
152,2011-04-11-13-29-54,brush_teeth,f,1,30.0,50.0,37.0,39.0
153,2011-04-11-13-29-54,brush_teeth,f,1,28.0,40.0,37.0,35.0
154,2011-04-11-13-29-54,brush_teeth,f,1,32.0,15.0,34.0,27.0
155,2011-04-11-13-29-54,brush_teeth,f,1,28.0,47.0,45.0,40.0
156,2011-04-11-13-29-54,brush_teeth,f,1,28.0,59.0,34.0,40.333333333333336
157,2011-04-11-13-29-54,brush_teeth,f,1,22.0,63.0,33.0,39.333333333333336
158,2011-04-11-13-29-54,brush_teeth,f,1,30.0,60.0,32.0,40.666666666666664
159,2011-04-11-13-29-54,brush_teeth,f,1,29.0,39.0,36.0,34.666666666666664
160,2011-04-11-13-29-54,brush_teeth,f,1,31.0,29.0,42.0,34.0
161,2011-04-11-13-29-54,brush_teeth,f,1,32.0,49.0,44.0,41.666666666666664
162,2011-04-11-13-29-54,brush_teeth,f,1,32.0,56.0,36.0,41.333333333333336
163,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,30.0,40.666666666666664
164,2011-04-11-13-29-54,brush_teeth,f,1,33.0,57.0,29.0,39.666666666666664
165,2011-04-11-13-29-54,brush_teeth,f,1,29.0,42.0,34.0,35.0
166,2011-04-11-13-29-54,brush_teeth,f,1,28.0,26.0,42.0,32.0
167,2011-04-11-13-29-54,brush_teeth,f,1,29.0,49.0,41.0,39.666666666666664
168,2011-04-11-13-29-54,brush_teeth,f,1,31.0,60.0,30.0,40.333333333333336
169,2011-04-11-13-29-54,brush_teeth,f,1,33.0,63.0,24.0,40.0
170,2011-04-11-13-29-54,brush_teeth,f,1,33.0,56.0,28.0,39.0
171,2011-04-11-13-29-54,brush_teeth,f,1,28.0,40.0,36.0,34.666666666666664
172,2011-04-11-13-29-54,brush_teeth,f,1,26.0,30.0,43.0,33.0
173,2011-04-11-13-29-54,brush_teeth,f,1,28.0,48.0,41.0,39.0
174,2011-04-11-13-29-54,brush_teeth,f,1,29.0,62.0,25.0,38.666666666666664
175,2011-04-11-13-29-54,brush_teeth,f,1,32.0,63.0,19.0,38.0
176,2011-04-11-13-29-54,brush_teeth,f,1,30.0,50.0,31.0,37.0
177,2011-04-11-13-29-54,brush_teeth,f,1,26.0,40.0,38.0,34.666666666666664
178,2011-04-11-13-29-54,brush_teeth,f,1,24.0,33.0,45.0,34.0
179,2011-04-11-13-29-54,brush_teeth,f,1,28.0,53.0,41.0,40.666666666666664
180,2011-04-11-13-29-54,brush_teeth,f,1,27.0,62.0,24.0,37.666666666666664
181,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,19.0,37.333333333333336
182,2011-04-11-13-29-54,brush_teeth,f,1,28.0,49.0,29.0,35.333333333333336
183,2011-04-11-13-29-54,brush_teeth,f,1,27.0,30.0,37.0,31.333333333333332
184,2011-04-11-13-29-54,brush_teeth,f,1,25.0,36.0,45.0,35.333333333333336
185,2011-04-11-13-29-54,brush_teeth,f,1,31.0,52.0,44.0,42.333333333333336
186,2011-04-11-13-29-54,brush_teeth,f,1,27.0,63.0,26.0,38.666666666666664
187,2011-04-11-13-29-54,brush_teeth,f,1,33.0,62.0,22.0,39.0
188,2011-04-11-13-29-54,brush_teeth,f,1,28.0,47.0,27.0,34.0
189,2011-04-11-13-29-54,brush_teeth,f,1,27.0,24.0,37.0,29.333333333333332
190,2011-04-11-13-29-54,brush_teeth,f,1,23.0,53.0,43.0,39.666666666666664
191,2011-04-11-13-29-54,brush_teeth,f,1,28.0,62.0,33.0,41.0
192,2011-04-11-13-29-54,brush_teeth,f,1,27.0,63.0,29.0,39.666666666666664
193,2011-04-11-13-29-54,brush_teeth,f,1,32.0,60.0,28.0,40.0
194,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,36.0,38.333333333333336
195,2011-04-11-13-29-54,brush_teeth,f,1,26.0,23.0,40.0,29.666666666666668
196,2011-04-11-13-29-54,brush_teeth,f,1,22.0,52.0,42.0,38.666666666666664
197,2011-04-11-13-29-54,brush_teeth,f,1,25.0,62.0,28.0,38.333333333333336
198,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,21.0,37.666666666666664
199,2011-04-11-13-29-54,brush_teeth,f,1,32.0,57.0,23.0,37.333333333333336
200,2011-04-11-13-29-54,brush_teeth,f,1,27.0,36.0,34.0,32.333333333333336
201,2011-04-11-13-29-54,brush_teeth,f,1,25.0,42.0,43.0,36.666666666666664
202,2011-04-11-13-29-54,brush_teeth,f,1,26.0,48.0,36.0,36.666666666666664
203,2011-04-11-13-29-54,brush_teeth,f,1,28.0,63.0,21.0,37.333333333333336
204,2011-04-11-13-29-54,brush_teeth,f,1,36.0,62.0,25.0,41.0
205,2011-04-11-13-29-54,brush_teeth,f,1,29.0,46.0,30.0,35.0
206,2011-04-11-13-29-54,brush_teeth,f,1,30.0,34.0,37.0,33.666666666666664
207,2011-04-11-13-29-54,brush_teeth,f,1,32.0,30.0,41.0,34.333333333333336
208,2011-04-11-13-29-54,brush_teeth,f,1,29.0,48.0,35.0,37.333333333333336
209,2011-04-11-13-29-54,brush_teeth,f,1,31.0,63.0,21.0,38.333333333333336
210,2011-04-11-13-29-54,brush_teeth,f,1,36.0,55.0,23.0,38.0
211,2011-04-11-13-29-54,brush_teeth,f,1,29.0,33.0,34.0,32.0
212,2011-04-11-13-29-54,brush_teeth,f,1,28.0,27.0,41.0,32.0
213,2011-04-11-13-29-54,brush_teeth,f,1,26.0,49.0,40.0,38.333333333333336
214,2011-04-11-13-29-54,brush_teeth,f,1,32.0,63.0,22.0,39.0
215,2011-04-11-13-29-54,brush_teeth,f,1,40.0,59.0,25.0,41.333333333333336
216,2011-04-11-13-29-54,brush_teeth,f,1,33.0,36.0,33.0,34.0
217,2011-04-11-13-29-54,brush_teeth,f,1,29.0,28.0,40.0,32.333333333333336
218,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,41.0,40.0
219,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,21.0,38.0
220,2011-04-11-13-29-54,brush_teeth,f,1,37.0,62.0,24.0,41.0
221,2011-04-11-13-29-54,brush_teeth,f,1,32.0,45.0,32.0,36.333333333333336
222,2011-04-11-13-29-54,brush_teeth,f,1,27.0,29.0,39.0,31.666666666666668
223,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,41.0,40.0
224,2011-04-11-13-29-54,brush_teeth,f,1,28.0,62.0,28.0,39.333333333333336
225,2011-04-11-13-29-54,brush_teeth,f,1,35.0,63.0,25.0,41.0
226,2011-04-11-13-29-54,brush_teeth,f,1,32.0,57.0,29.0,39.333333333333336
227,2011-04-11-13-29-54,brush_teeth,f,1,27.0,26.0,36.0,29.666666666666668
228,2011-04-11-13-29-54,brush_teeth,f,1,24.0,48.0,39.0,37.0
229,2011-04-11-13-29-54,brush_teeth,f,1,29.0,56.0,36.0,40.333333333333336
230,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,23.0,38.666666666666664
231,2011-04-11-13-29-54,brush_teeth,f,1,34.0,60.0,24.0,39.333333333333336
232,2011-04-11-13-29-54,brush_teeth,f,1,31.0,36.0,34.0,33.666666666666664
233,2011-04-11-13-29-54,brush_teeth,f,1,28.0,28.0,41.0,32.333333333333336
234,2011-04-11-13-29-54,brush_teeth,f,1,26.0,48.0,42.0,38.666666666666664
235,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,25.0,39.0
236,2011-04-11-13-29-54,brush_teeth,f,1,37.0,63.0,24.0,41.333333333333336
237,2011-04-11-13-29-54,brush_teeth,f,1,34.0,49.0,31.0,38.0
238,2011-04-11-13-29-54,brush_teeth,f,1,28.0,21.0,34.0,27.666666666666668
239,2011-04-11-13-29-54,brush_teeth,f,1,26.0,37.0,38.0,33.666666666666664
240,2011-04-11-13-29-54,brush_teeth,f,1,29.0,54.0,37.0,40.0
241,2011-04-11-13-29-54,brush_teeth,f,1,29.0,63.0,28.0,40.0
242,2011-04-11-13-29-54,brush_teeth,f,1,31.0,63.0,26.0,40.0
243,2011-04-11-13-29-54,brush_teeth,f,1,29.0,50.0,29.0,36.0
244,2011-04-11-13-29-54,brush_teeth,f,1,27.0,30.0,36.0,31.0
245,2011-04-11-13-29-54,brush_teeth,f,1,24.0,44.0,41.0,36.333333333333336
246,2011-04-11-13-29-54,brush_teeth,f,1,28.0,56.0,33.0,39.0
247,2011-04-11-13-29-54,brush_teeth,f,1,26.0,63.0,25.0,38.0
248,2011-04-11-13-29-54,brush_teeth,f,1,36.0,62.0,25.0,41.0
249,2011-04-11-13-29-54,brush_teeth,f,1,27.0,44.0,30.0,33.666666666666664
250,2011-04-11-13-29-54,brush_teeth,f,1,28.0,32.0,38.0,32.666666666666664
251,2011-04-11-13-29-54,brush_teeth,f,1,28.0,44.0,41.0,37.666666666666664
252,2011-04-11-13-29-54,brush_teeth,f,1,28.0,63.0,26.0,39.0
253,2011-04-11-13-29-54,brush_teeth,f,1,34.0,63.0,18.0,38.333333333333336
254,2011-04-11-13-29-54,brush_teeth,f,1,33.0,44.0,27.0,34.666666666666664
255,2011-04-11-13-29-54,brush_teeth,f,1,29.0,31.0,36.0,32.0
256,2011-04-11-13-29-54,brush_teeth,f,1,28.0,46.0,38.0,37.333333333333336
257,2011-04-11-13-29-54,brush_teeth,f,1,28.0,62.0,23.0,37.666666666666664
258,2011-04-11-13-29-54,brush_teeth,f,1,35.0,63.0,18.0,38.666666666666664
259,2011-04-11-13-29-54,brush_teeth,f,1,35.0,54.0,27.0,38.666666666666664
260,2011-04-11-13-29-54,brush_teeth,f,1,28.0,33.0,38.0,33.0
261,2011-04-11-13-29-54,brush_teeth,f,1,29.0,30.0,41.0,33.333333333333336
262,2011-04-11-13-29-54,brush_teeth,f,1,27.0,52.0,36.0,38.333333333333336
263,2011-04-11-13-29-54,brush_teeth,f,1,32.0,63.0,21.0,38.666666666666664
264,2011-04-11-13-29-54,brush_teeth,f,1,39.0,58.0,22.0,39.666666666666664
265,2011-04-11-13-29-54,brush_teeth,f,1,28.0,30.0,33.0,30.333333333333332
266,2011-04-11-13-29-54,brush_teeth,f,1,27.0,33.0,42.0,34.0
267,2011-04-11-13-29-54,brush_teeth,f,1,30.0,54.0,39.0,41.0
268,2011-04-11-13-29-54,brush_teeth,f,1,35.0,63.0,20.0,39.333333333333336
269,2011-04-11-13-29-54,brush_teeth,f,1,36.0,57.0,23.0,38.666666666666664
270,2011-04-11-13-29-54,brush_teeth,f,1,25.0,36.0,34.0,31.666666666666668
271,2011-04-11-13-29-54,brush_teeth,f,1,23.0,35.0,39.0,32.333333333333336
272,2011-04-11-13-29-54,brush_teeth,f,1,22.0,57.0,41.0,40.0
273,2011-04-11-13-29-54,brush_teeth,f,1,27.0,62.0,37.0,42.0
274,2011-04-11-13-29-54,brush_teeth,f,1,30.0,63.0,27.0,40.0
275,2011-04-11-13-29-54,brush_teeth,f,1,34.0,63.0,29.0,42.0
276,2011-04-11-13-29-54,brush_teeth,f,1,37.0,57.0,32.0,42.0
277,2011-04-11-13-29-54,brush_teeth,f,1,32.0,61.0,35.0,42.666666666666664
278,2011-04-11-13-29-54,brush_teeth,f,1,29.0,45.0,28.0,34.0
279,2011-04-11-13-29-54,brush_teeth,f,1,24.0,45.0,35.0,34.666666666666664
280,2011-04-11-13-29-54,brush_teeth,f,1,12.0,33.0,40.0,28.333333333333332
281,2011-04-11-13-29-54,brush_teeth,f,1,13.0,43.0,41.0,32.333333333333336
282,2011-04-11-13-29-54,brush_teeth,f,1,18.0,46.0,40.0,34.666666666666664
283,2011-04-11-13-29-54,brush_teeth,f,1,24.0,51.0,37.0,37.333333333333336
284,2011-04-11-13-29-54,brush_teeth,f,1,54.0,63.0,28.0,48.333333333333336
285,2011-04-11-13-29-54,brush_teeth,f,1,51.0,55.0,28.0,44.666666666666664
286,2011-04-11-13-29-54,brush_teeth,f,1,35.0,44.0,41.0,40.0
287,2011-04-11-13-29-54,brush_teeth,f,1,6.0,43.0,44.0,31.0
288,2011-04-11-13-29-54,brush_teeth,f,1,6.0,45.0,40.0,30.333333333333332
289,2011-04-11-13-29-54,brush_teeth,f,1,16.0,50.0,41.0,35.666666666666664
290,2011-04-11-13-29-54,brush_teeth,f,1,39.0,52.0,33.0,41.333333333333336
291,2011-04-11-13-29-54,brush_teeth,f,1,54.0,63.0,26.0,47.666666666666664
292,2011-04-11-13-29-54,brush_teeth,f,1,33.0,49.0,39.0,40.333333333333336
293,2011-04-11-13-29-54,brush_teeth,f,1,10.0,32.0,41.0,27.666666666666668
294,2011-04-11-13-29-54,brush_teeth,f,1,15.0,50.0,30.0,31.666666666666668
295,2011-04-11-13-29-54,brush_teeth,f,1,20.0,56.0,25.0,33.666666666666664
296,2011-04-11-13-29-54,brush_teeth,f,1,21.0,42.0,37.0,33.333333333333336
297,2011-04-11-13-29-54,brush_teeth,f,1,24.0,52.0,43.0,39.666666666666664
298,2011-04-11-13-29-54,brush_teeth,f,1,25.0,56.0,38.0,39.666666666666664
299,2011-04-11-13-29-54,brush_teeth,f,1,28.0,59.0,45.0,44.0
300,2011-04-11-13-29-54,brush_teeth,f,1,28.0,51.0,41.0,40.0
301,2011-04-11-13-29-54,brush_teeth,f,1,24.0,52.0,41.0,39.0
302,2011-04-11-13-29-54,brush_teeth,f,1,22.0,53.0,44.0,39.666666666666664
303,2011-04-11-13-29-54,brush_teeth,f,1,21.0,45.0,44.0,36.666666666666664
304,2011-04-11-13-29-54,brush_teeth,f,1,20.0,47.0,39.0,35.333333333333336
305,2011-04-11-13-29-54,brush_teeth,f,1,20.0,50.0,39.0,36.333333333333336
306,2011-04-11-13-29-54,brush_teeth,f,1,19.0,49.0,39.0,35.666666666666664
307,2011-04-11-13-29-54,brush_teeth,f,1,19.0,48.0,40.0,35.666666666666664
308,2011-04-11-13-29-54,brush_teeth,f,1,20.0,50.0,41.0,37.0
309,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,42.0,36.666666666666664
310,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,42.0,36.666666666666664
311,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,43.0,37.666666666666664
